"","Country Code","Year","Count"
"284","AGO",1964,5735044
"285","AGO",2010,23356246
"286","AGO",1998,15359601
"287","AGO",2007,20905363
"288","AGO",1973,6496962
"289","AGO",2017,29816748
"290","AGO",2005,19433602
"291","ATG",1977,62159
"292","ATG",1965,58698
"293","ATG",1992,64471
"294","ATG",2012,90409
"295","ATG",1985,61786
"296","ATG",1989,62008
"297","ATG",2006,82704
"298","ATG",1982,61779
"299","ATG",1971,64357
"300","ATG",1972,64133
"301","ATG",2007,84026
"302","ATG",2010,88028
"303","ATG",1980,61865
"304","ATG",1975,62675
"305","ATG",1997,71704
"306","ATG",1991,63367
"307","ATG",1962,55841
"308","ATG",1961,55001
"309","ATG",1970,64177
"310","ATG",1998,73224
"311","ATG",2005,81465
"312","ATG",1978,62036
"313","ATG",2016,94527
"314","ATG",2001,77212
"315","ATG",1967,61241
"316","ATG",2008,85397
"317","ATG",2017,95426
"318","ATG",1968,62521
"319","ATG",2003,79300
"320","ATG",1966,59915
"321","ATG",1995,68670
"322","ATG",1988,61771
"323","ATG",2015,93566
"324","ATG",1976,62367
"325","ATG",2011,89253
"326","ATG",1979,61952
"327","ATG",1973,63650
"328","ATG",2000,76016
"329","ATG",2013,91516
"330","ATG",1993,65777
"331","ATG",2002,78295
"332","ATG",1964,57641
"333","ATG",2009,86746
"334","ATG",1963,56702
"335","ATG",2004,80336
"336","ATG",1974,63120
"337","ATG",1983,61787
"338","ATG",1969,63550
"339","ATG",1986,61754
"340","ATG",1960,54131
"341","ATG",1984,61786
"342","ATG",1981,61800
"343","ATG",1987,61717
"344","ATG",1990,62528
"345","ATG",1999,74674
"346","ATG",1996,70173
"347","ATG",2014,92562
"348","ATG",1994,67204
"349","ARG",1984,29737093
"350","ARG",1975,25865776
"351","ARG",2002,37681749
"352","ARG",1980,27896528
"353","ARG",2012,41733271
"354","ARG",2007,39684295
"355","ARG",1987,31184415
"356","ARG",2003,38087868
"357","ARG",1992,33529326
"358","ARG",1976,26264681
"359","ARG",1998,36063459
"360","ARG",2017,44044811
"361","ARG",1969,23517611
"362","ARG",1971,24259561
"363","ARG",1965,22159650
"364","ARG",1988,31668949
"365","ARG",1979,27471036
"366","ARG",2010,40788453
"367","ARG",2005,38892931
"368","ARG",1978,27061047
"369","ARG",1966,22494035
"370","ARG",1981,28338515
"371","ARG",1962,21153052
"372","ARG",1983,29262047
"373","ARG",1977,26661398
"374","ARG",1964,21824425
"375","ARG",1990,32618651
"376","ARG",1997,35657429
"377","ARG",1961,20817266
"378","ARG",1970,23880561
"379","ARG",1960,20481779
"380","ARG",1996,35246374
"381","ARG",2015,43131966
"382","ARG",2013,42202935
"383","ARG",1974,25462302
"384","ARG",2000,36870787
"385","ARG",1982,28794548
"386","ARG",2008,40080160
"387","ARG",2011,41261490
"388","ARG",2014,42669500
"389","ARG",1985,30216279
"390","ARG",1994,34402672
"391","ARG",1993,33970111
"392","ARG",2001,37275652
"393","ARG",1989,32148134
"394","ARG",1995,34828170
"395","ARG",1967,22828869
"396","ARG",1986,30698964
"397","ARG",1963,21488912
"398","ARG",1973,25056478
"399","ARG",1999,36467218
"400","ARG",1991,33079000
"401","ARG",2016,43590368
"402","ARG",1968,23168267
"403","ARG",2006,39289878
"404","ARG",2004,38491972
"405","ARG",2009,40482788
"406","ARG",1972,24653175
"407","ARM",1992,3442817
"408","ARM",1997,3133089
"409","ARM",2002,3033978
"410","ARM",1971,2587708
"411","ARM",2010,2877319
"412","ARM",1979,3049109
"413","ARM",1980,3099754
"414","ARM",1975,2832759
"415","ARM",1965,2211319
"416","ARM",1961,1941492
"417","ARM",1993,3363108
"418","ARM",1970,2525068
"419","ARM",2016,2936146
"420","ARM",2011,2876538
"421","ARM",2017,2944809
"422","ARM",1976,2889579
"423","ARM",1982,3193689
"424","ARM",1977,2944383
"425","ARM",2007,2932618
"426","ARM",1966,2276034
"427","ARM",1988,3504659
"428","ARM",1995,3217348
"429","ARM",1989,3536474
"430","ARM",1999,3089022
"431","ARM",2012,2884229
"432","ARM",1984,3285599
"433","ARM",1981,3148096
"434","ARM",2008,2907618
"435","ARM",1983,3238595
"436","ARM",1968,2401143
"437","ARM",1964,2145001
"438","ARM",2000,3069591
"439","ARM",2005,2981269
"440","ARM",1962,2009526
"441","ARM",1996,3168221
"442","ARM",1974,2773748
"443","ARM",1987,3451947
"444","ARM",1978,2997417
"445","ARM",1960,1874121
"446","ARM",1985,3335940
"447","ARM",1986,3392264
"448","ARM",2015,2925553
"449","ARM",1969,2462928
"450","ARM",2004,3000720
"451","ARM",1990,3538171
"452","ARM",2009,2888092
"453","ARM",2001,3050687
"454","ARM",2006,2958307
"455","ARM",1967,2339127
"456","ARM",1998,3108687
"457","ARM",1963,2077578
"458","ARM",2013,2897584
"459","ARM",1972,2650486
"460","ARM",1991,3505258
"461","ARM",2014,2912403
"462","ARM",2003,3017932
"463","ARM",1994,3283667
"464","ARM",1973,2712786
"465","ABW",1968,58386
"466","ABW",2000,90853
"467","ABW",2006,100834
"468","ABW",1995,80324
"469","ABW",2001,92898
"470","ABW",1976,60586
"471","ABW",1970,59063
"472","ABW",1978,60103
"473","ABW",2016,104872
"474","ABW",1999,89005
"475","ABW",1977,60366
"476","ABW",1981,60567
"477","ABW",1996,83200
"478","ABW",2017,105366
