"","Country Code","year","value"
"239","GRD","1962",1.258918433
"240","GRL","1962",3.785022413
"241","GTM","1962",2.936142319
"242","GUM","1962",2.225606841
"243","GUY","1962",2.845890182
"244","HND","1962",2.78650295
"245","HRV","1962",0.703493717
"246","HTI","1962",1.940215743
"247","HUN","1962",0.322661285
"248","IDN","1962",2.650495524
"249","IND","1962",2.031905454
"250","IRL","1962",0.411628632
"251","IRQ","1962",2.625571872
"252","ISL","1962",1.853365244
"253","ISR","1962",4.824517533
"254","ITA","1962",0.67662299
"255","JAM","1962",1.528350382
"256","JOR","1962",3.695789962
"257","JPN","1962",0.93199469
"258","KAZ","1962",3.862011236
"259","KEN","1962",3.164077574
"260","KHM","1962",2.612699056
"261","KIR","1962",2.460655081
"262","KWT","1962",11.54144047
"263","LBN","1962",3.202349887
"264","LBR","1962",2.108915509
"265","LBY","1962",3.460102905
"266","LKA","1962",2.351009014
"267","LSO","1962",1.886903219
"268","LTU","1962",1.399730954
"269","LUX","1962",1.224930819
"270","LVA","1962",1.333809317
"271","MAR","1962",2.978712885
"272","MDA","1962",2.239593881
"273","MDG","1962",2.438360867
"274","MDV","1962",2.756143053
"275","MEX","1962",3.105963789
"276","MKD","1962",1.282291486
"277","MLI","1962",1.104346443
"278","MLT","1962",-0.415929122
"279","MNE","1962",2.298183662
"280","MNG","1962",2.92430878
"281","MNP","1962",1.847158558
"282","MOZ","1962",2.224987665
"283","MRT","1962",2.937867815
"284","MUS","1962",2.837336795
"285","MWI","1962",2.40666564
"286","MYS","1962",3.209104559
"287","NAM","1962",2.409744157
"288","NCL","1962",2.67330622
"289","NER","1962",2.881002768
"290","NGA","1962",2.075966411
"291","NIC","1962",3.101881823
"292","NLD","1962",1.424475067
"293","NOR","1962",0.803401557
"294","NPL","1962",1.602717616
"295","NRU","1962",6.518597988
"296","NZL","1962",2.542112124
"297","OMN","1962",2.436039867
"298","PAK","1962",2.431166392
"299","PAN","1962",2.982713236
"300","PER","1962",2.857759781
"301","PHL","1962",3.317895843
"302","PNG","1962",1.867173635
"303","POL","1962",1.143154014
"304","PRI","1962",2.086654718
"305","PRT","1962",0.721622436
"306","PRY","1962",2.631766712
"307","PYF","1962",3.588827656
"308","QAT","1962",8.997270233
"309","ROU","1962",0.651595836
"310","RWA","1962",1.804995114
"311","SAU","1962",3.354755396
"312","SDN","1962",2.975303856
"313","SEN","1962",2.739675971
"314","SGP","1962",2.769104695
"315","SLB","1962",2.972404302
"316","SLE","1962",1.535781563
"317","SLV","1962",2.928386658
"318","SOM","1962",2.113174625
"319","SSD","1962",1.896459699
"320","STP","1962",-0.190578067
"321","SUR","1962",2.661346419
"322","SVN","1962",0.595289739
"323","SWE","1962",0.551534904
"324","SWZ","1962",1.964299691
"325","SYC","1962",2.652834129
"326","TCA","1962",0.170096996
"327","TCD","1962",1.969390705
"328","TGO","1962",0.948771415
"329","THA","1962",2.990360262
"330","TJK","1962",3.523801538
"331","TKM","1962",3.382058497
"332","TON","1962",3.878901047
"333","TTO","1962",1.676739819
"334","TUN","1962",1.576389653
"335","TUR","1962",2.407698496
"336","TZA","1962",2.90767622
"337","UGA","1962",3.267675322
"338","UKR","1962",1.255522347
"339","URY","1962",1.244363773
"340","USA","1962",1.537997358
"341","UZB","1962",3.347219946
"342","VGB","1962",1.735796449
"343","VNM","1962",2.976969477
"344","VUT","1962",3.129866936
