"","Country Code","year","value"
"418","MDG","1964",802482182.924192
"419","MEX","1964",2.008e+10
"420","MRT","1964",224495789.265476
"421","MWI","1964",194736105.277894
"422","MYS","1964",2674441395.53116
"423","NER","1964",582816358.347155
"424","NGA","1964",5552822483.55033
"425","NIC","1964",341973758.857143
"426","NLD","1964",18699380731.3465
"427","NOR","1964",7159202706.48027
"428","NPL","1964",496098775.308642
"429","NZL","1964",7274144350.81809
"430","PAK","1964",5204955900.88198
"431","PAN","1964",776137500
"432","PER","1964",4356913870.23507
"433","PHL","1964",5271404668.36735
"434","PNG","1964",305312043.68649
"435","PRI","1964",2570500000
"436","PRT","1964",4235608177.67102
"437","RWA","1964",129999994
"438","SDN","1964",1611333333.33333
"439","SEN","1964",1188930567.71363
"440","SGP","1964",894159153.273226
"441","SLE","1964",371848114.747956
"442","SOM","1964",229529912.668035
"443","SUR","1964",134400000
"444","SWE","1964",22532416750.0125
"445","SWZ","1964",64979280.4143917
"446","SYC","1964",15393032.3541529
"447","TCD","1964",392247517.602016
"448","TGO","1964",166104067.630043
"449","THA","1964",3889129942.30769
"450","TTO","1964",711893367.55527
"451","TUR","1964",11177777777.7778
"452","UGA","1964",589056603.773585
"453","URY","1964",1975701816.46615
"454","USA","1964",6.858e+11
"455","WLD","1964",1805673902285.75
"456","ZAF","1964",10373995854.5513
"457","ZMB","1964",839428571.428571
"458","ZWE","1964",1217138000
"459","AFG","1965",1006666637.77778
"460","ARG","1965",28344705966.6389
"461","AUS","1965",25936835031.9185
"462","AUT","1965",9994070615.85997
"463","BDI","1965",158994962.962963
"464","BEL","1965",17371457607.9374
"465","BEN","1965",289908720.648622
"466","BFA","1965",422916848.424208
"467","BGD","1965",5906636557.00092
"468","BLZ","1965",40069930.0699301
"469","BMU","1965",114339048.962736
"470","BOL","1965",604377104.377104
"471","BRA","1965",21790035117.19
"472","BWA","1965",45790869.7473126
"473","CAF","1965",150574816.300764
"474","CAN","1965",54515179580.7148
"475","CHE","1965",15346741669.7575
"476","CHL","1965",6026593750
"477","CHN","1965",70436266146.7219
"478","CMR","1965",814139855.756458
"479","COL","1965",5760761904.7619
"480","CRI","1965",592981162.264151
"481","DOM","1965",888100000
"482","DZA","1965",3136258896.9233
"483","ECU","1965",2387048255.45173
"484","ESP","1965",24756958694.9238
"485","FIN","1965",8589340019.02985
"486","FJI","1965",147084750.031482
"487","FRA","1965",101537248148.427
"488","GAB","1965",226474285.587116
"489","GBR","1965",101824755078.991
"490","GHA","1965",2053462872.38275
"491","GNQ","1965",64748333.3333333
"492","GRC","1965",7689154053.35866
"493","GTM","1965",1331399900
"494","GUY","1965",213235294.117647
"495","HND","1965",508650000
"496","HTI","1965",353251800
"497","IND","1965",59554854574.7942
"498","IRL","1965",2945704142.99765
"499","ISL","1965",523694949.370689
"500","ISR","1965",3663333333.33333
"501","ITA","1965",67978153850.5191
"502","JAM","1965",972140557.188856
"503","JOR","1965",599831979.837581
"504","JPN","1965",90950278257.7778
"505","KEN","1965",997919319.980049
"506","KHM","1965",868571428.571429
"507","KWT","1965",2097451694.2033
"508","LKA","1965",1698319327.73109
"509","LSO","1965",54878902.4219516
"510","LUX","1965",921600736.304026
"511","MAR","1965",2948325264.30195
"512","MDG","1965",833563472.162352
"513","MEX","1965",2.184e+10
"514","MRT","1965",255340526.745302
"515","MWI","1965",229455410.891782
"516","MYS","1965",2956356984.18921
"517","NCL","1965",159594493.548808
"518","NER","1965",673383604.238783
"519","NGA","1965",5874422511.54977
"520","NIC","1965",566542872.357143
"521","NLD","1965",21000586933.2041
"522","NOR","1965",8058681060.159
"523","NPL","1965",735267082.294264
"524","NZL","1965",5654463586.00366
"525","OMN","1965",63287594.5113414
"526","PAK","1965",5929231415.37169
"527","PAN","1965",852485300
"528","PER","1965",5166861068.42164
"529","PHL","1965",5784398976.9821
"530","PNG","1965",344159480.344943
"531","PRI","1965",2881500000
"532","PRT","1965",4687464054.83455
